legajo,nivel,titulo,colacion,promedio,promedio_lineal
47128,Grado,Ingeniero Mecánico,52,5.65,6.28
51628,Grado,Ingeniero en Informática,52,8.15,8.14
51639,Grado,Ingeniero en Informática,52,6.36,6.6
51043,Grado,Ingeniero Químico,52,6.59,7.06
50066,Grado,Ingeniero en Informática,52,6.59,7.11
52032,Grado,Ingeniero Industrial,52,6.35,6.87
49138,Grado,Ingeniero en Informática,52,6.21,6.88
52233,Grado,Ingeniero Industrial,52,6.23,6.84
53065,Grado,Ingeniero Industrial,52,6.53,6.86
51208,Grado,Ingeniero Industrial,52,6.37,6.62
50466,Grado,Ingeniero en Informática,52,6.21,6.69
51013,Grado,Ingeniero Industrial,52,6.08,6.47
45209,Grado,Lic.en Administración y Sistemas,52,5.65,6.66
51288,Grado,Ingeniero Mecánico,52,6.52,6.7
52565,Grado,Ingeniero Industrial,52,6.73,7.16
53127,Grado,Ingeniero Industrial,52,7.74,7.78
52242,Grado,Ingeniero en Petróleo,52,6.59,6.96
41209,Grado,Ingeniero Industrial,52,5.82,6.15
51533,Grado,Ingeniero en Informática,52,6.23,6.65
52163,Grado,Ingeniero en Informática,52,7,7.27
49297,Grado,Ingeniero en Informática,52,6.06,6.71
50495,Grado,Ingeniero Mecánico,52,5.89,6.17
53261,Grado,Ingeniero Industrial,52,7.95,8.14
53445,Grado,Lic.en Administración y Sistemas,52,7.07,7.11
52070,Grado,Ingeniero Químico,52,7.31,7.48
53053,Grado,Ingeniero Industrial,52,7.78,7.89
53090,Grado,Ingeniero Industrial,52,7.84,7.89
53547,Grado,Lic.en Administración y Sistemas,52,6.5,6.55
53805,Grado,Lic.en Administración y Sistemas,52,6.62,6.71
52193,Grado,Ingeniero Químico,52,6.51,6.68
52471,Grado,Ingeniero Químico,52,7.12,7.27
51141,Grado,Ingeniero en Informática,52,5.88,6.37
51204,Grado,Ingeniero Industrial,52,6.37,6.6
50032,Grado,Lic.en Administración y Sistemas,52,7.24,7.38
50676,Grado,Ingeniero Industrial,52,6.19,6.7
51149,Grado,Ingeniero Industrial,52,4.9,5.88
50331,Grado,Ingeniero Electrónico,52,7.54,7.88
51061,Grado,Ingeniero en Informática,52,6.48,6.94
51271,Grado,Ingeniero Químico,52,5.77,6.12
52547,Grado,Ingeniero Químico,52,7.24,7.4
47512,Grado,Ingeniero Industrial,52,8.05,8.14
51289,Grado,Ingeniero en Informática,52,6.83,7.23
53869,Grado,Lic.en Administración y Sistemas,52,7.37,7.48
50349,Grado,Ingeniero Químico,52,6.36,6.8
52088,Grado,Ingeniero Industrial,52,6.38,6.97
49353,Grado,Ingeniero Mecánico,52,6.14,6.57
51088,Grado,Ingeniero Mecánico,52,5.83,6.12
52502,Grado,Ingeniero en Petróleo,52,6.81,7.09
52460,Grado,Ingeniero Industrial,52,7.27,7.38
52560,Grado,Ingeniero Industrial,52,6.54,6.78
50114,Grado,Ingeniero Industrial,52,6.62,6.87
52113,Grado,Ingeniero Químico,52,8.58,8.66
46165,Grado,Ingeniero Mecánico,52,7.59,7.65
52388,Grado,Ingeniero Industrial,52,7.65,7.76
52518,Grado,Ingeniero Industrial,52,7.12,7.36
52545,Grado,Ingeniero Industrial,52,6.41,6.66
48080,Grado,Ingeniero Industrial,52,5.43,6.09
50705,Grado,Ingeniero Industrial,52,5.5,6.29
52489,Grado,Ingeniero Industrial,52,7.52,7.72
52541,Grado,Ingeniero Industrial,52,7.84,7.91
50398,Grado,Ingeniero en Petróleo,52,5.17,5.79
50346,Grado,Ingeniero Industrial,52,5.5,6.13
48173,Grado,Ingeniero Industrial,52,5.25,6.33
51677,Grado,Ingeniero Industrial,52,5.9,6.31
51387,Grado,Ingeniero en Petróleo,52,6.37,6.62
52045,Grado,Ingeniero Industrial,52,6.68,7.09
52361,Grado,Ingeniero en Petróleo,52,7.03,7.1
52173,Grado,Ingeniero Industrial,52,7.61,7.78
52202,Grado,Ingeniero Industrial,52,7.29,7.6
51265,Grado,Ingeniero en Informática,52,6.7,6.97
52573,Grado,Lic.en Administración y Sistemas,52,6.29,6.49
53413,Grado,Lic.en Administración y Sistemas,52,5.96,6.2
51023,Grado,Ingeniero Industrial,52,5.88,6.55
51014,Grado,Ingeniero en Informática,52,6.38,6.56
52455,Grado,Ingeniero en Informática,52,7.42,7.57
50223,Grado,Ingeniero Químico,52,6.04,6.48
52139,Grado,Ingeniero Químico,52,8.15,8.16
52336,Grado,Ingeniero Industrial,52,6.08,6.57
52616,Grado,Ingeniero Industrial,52,6.81,6.93
52360,Grado,Ingeniero Industrial,52,7.62,7.6
49308,Grado,Ingeniero en Petróleo,52,5.42,6.07
51047,Grado,Ingeniero Industrial,52,6.28,6.66
51163,Grado,Ingeniero Industrial,52,5.88,6.33
51249,Grado,Ingeniero Industrial,52,6.22,6.64
52359,Grado,Ingeniero Industrial,52,6.88,7.04
53192,Grado,Ingeniero Industrial,52,7.99,8.21
51662,Grado,Ingeniero Industrial,52,6.27,6.4
52482,Grado,Ingeniero Industrial,52,6.36,6.69
50357,Grado,Ingeniero Químico,52,6.02,6.32
50388,Grado,Ingeniero en Petróleo,52,6.09,6.34
52507,Grado,Ingeniero Químico,52,8.49,8.65
51347,Grado,Ingeniero Mecánico,52,8.36,8.39
52075,Grado,Ingeniero Industrial,52,7.6,7.66
53590,Grado,Lic.en Administración y Sistemas,52,6.26,6.42
52258,Grado,Ingeniero Industrial,52,8.47,8.43
52167,Grado,Ingeniero Industrial,52,7.43,7.47
52144,Grado,Ingeniero en Petróleo,52,7.39,7.46
47465,Grado,Ingeniero Industrial,52,5.53,6.24
52368,Grado,Ingeniero Químico,52,7.07,7.3
51641,Grado,Lic.en Administración y Sistemas,52,6.85,7.01
51247,Grado,Lic.en Administración y Sistemas,52,5.78,6.19
47357,Grado,Ingeniero Mecánico,52,5.8,6.2
